44919,3,7175,D11Got5,5,11,,F,15
629691,2,,,5,5,806.3,P,11
100688,2,,,5,16,744.6,P,15
94151,2,,,5,8,1287,P,15
29429,2,,,5,17,267.9,P,15
171955,2,,,5,8,394.9,P,15
38756,3,3067,D10Rat218,5,10,124.41,P,14
60350,3,11883,D2Got86,5,2,654.1,P,15
27587,2,,,5,3,361.8,P,15
18581,2,,,5,1,1555.9,P,15
245410,2,,,5,15,294.6,P,15
312133,2,,,5,9,13.8,P,15
80176,2,,,5,11,180.2,P,15
295198,2,,,5,12,779.73,P,12
212224,2,,,5,20,143,P,15
318655,2,,,5,13,607.2,P,15
41336,3,4357,D4Rat164,5,4,443.2,F,15
85875,2,,,5,3,59,P,15
38720,3,3049,D2Rat152,5,2,1007.2,F,15
131172,2,,,5,15,535.3,P,15
133337,2,,,5,17,375.9,P,10
98218,2,,,5,1,1317.9,P,13
102190,2,,,5,10,877.1,P,15
30266,2,,,5,7,1077,P,15
33919,3,711,D8Mit15,5,8,1170.9,F,15
83548,2,,,5,12,264.3,P,15
630235,2,,,5,17,69.8,P,15
43492,3,5956,D2Wox5,5,2,297.6,P,15
44604,3,6900,D9Got60,5,9,473.39,P,10
29030,2,,,5,20,76.95,P,13
18860,2,,,5,10,412.9,P,15
43297,3,5809,D1Got123,5,1,1066.8,F,15
36506,3,1941,D13Rat32,5,13,468.2,P,15
164078,2,,,5,8,611.7,P,15
206927,2,,,5,15,500.71,P,11
110875,2,,,5,2,282.9,P,15
16355,2,,,5,5,413.8,P,15
123759,2,,,5,2,32.1,P,15
268090,2,,,5,13,611.2,P,15
99628,2,,,5,1,909.6,P,15
21836,2,,,5,18,798,P,15
40682,3,4030,D18Rat85,5,18,669.7,P,14
85290,2,,,5,5,866.3,P,15
263163,2,,,5,1,1437.6,P,9
79389,2,,,5,2,1546.7,P,13
124088,2,,,5,5,1058.2,P,15
220750,2,,,5,17,711,P,15
130546,2,,,5,3,1336.3,P,15
11648,2,,,5,16,635.1,P,14
16622,2,,,5,13,451.5,P,15
251042,2,,,5,19,495.3,P,15
13334,2,,,5,13,147.9,P,15
146075,2,,,5,5,836.4,P,15
104595,2,,,5,17,416.8,P,15
122340,2,,,5,18,193.6,P,15
12242,2,,,5,3,935.6,P,13
11427,3,492,D20Wox2,5,20,48.4,P,15
22961,2,,,5,15,91.7,P,14
104025,2,,,5,3,722.5,P,15
13766,2,,,5,8,237.4,P,15
197176,2,,,5,8,845.6,P,15
18647,2,,,5,1,841,P,15
26831,2,,,5,12,646.8,P,15
173658,2,,,5,8,220.2,P,15
77576,2,,,5,18,192.7,P,15
27275,2,,,5,4,732,P,14
107619,2,,,5,1,789.1,P,15
36711,3,2044,D5Rat32,5,5,868.7,P,15
132837,2,,,5,8,436.8,P,15
91499,2,,,5,17,418.6,P,14
37878,3,2628,D12Rat33,5,12,336.2,P,15
281081,2,,,5,5,788.5,P,15
629806,2,,,5,1,1589.3,P,12
40366,3,3872,D20Rat52,5,20,369.92,P,13
231619,2,,,5,3,1275.4,P,15
20906,2,,,5,1,1614.8,P,14
629871,2,,,5,7,790,P,15
261041,2,,,5,7,480.9,P,15
240269,2,,,5,10,441.8,P,15
340570,2,,,5,10,794.2,P,15
11798,2,,,5,4,434.83,P,11
198432,2,,,5,9,712.2,P,11
20873,2,,,5,8,333.8,P,15
32897,2,,,5,13,516.8,P,11
197664,2,,,5,8,364.22,P,12
45028,3,7271,D13Got9,5,13,74.3,P,11
51109,2,,,5,7,295.8,P,15
630527,2,,,5,8,1018.1,P,15
310288,2,,,5,1,1427,P,15
182258,2,,,5,1,170.7,P,15
116980,2,,,5,5,577.5,P,15
44020,3,6402,D5Got122,5,5,1196.7,P,15
283297,2,,,5,3,11.1,P,15
268503,2,,,5,8,670.1,P,13
21881,2,,,5,9,359.2,P,13
224643,2,,,5,9,867.1,P,15
45702,3,7846,D20Got40,5,20,438.84,P,10
149918,2,,,5,9,496.3,P,15
92123,2,,,5,7,483,P,15
34540,3,1011,D13Mgh14,5,13,556.9,P,15
11651,2,,,5,8,215.1,P,15
43359,3,5854,D1Got179,5,1,1430.1,P,15
19727,2,,,5,7,679.4,P,15
29381,2,,,5,13,113.3,P,13
32837,2,,,5,2,1324.1,P,15
37376,3,2377,D6Rat87,5,6,677,P,15
156033,2,,,5,2,1545.7,P,15
24629,2,,,5,7,487.7,P,15
16073,2,,,5,13,171.9,P,15
36749,3,2063,D10Rat19,5,10,853.4,F,15
29849,2,,,5,1,1538.3,P,15
630596,2,,,5,6,89.7,P,8
265212,2,,,5,16,621.71,P,10
120195,2,,,5,1,1650.3,P,15
200749,2,,,5,1,1378,P,15
28829,2,,,5,7,787.3,P,13
37480,3,2429,D18Rat48,5,18,41.9,P,13
23171,2,,,5,16,727.9,P,15
44059,3,6428,D6Got38,5,6,131.4,P,15
243713,2,,,5,12,772.52,P,10
112612,2,,,5,12,446.2,P,15
43367,3,5862,D1Got182,5,1,1437.81,P,10
37296,3,2337,D1Rat148,5,1,165,P,13
325800,2,,,5,18,35,P,15
226120,2,,,5,2,307.9,P,15
110923,2,,,5,X,42,P,15
190822,2,,,5,1,1133.9,P,15
18026,2,,,5,1,1437.31,P,10
211504,2,,,5,18,367.2,P,15
260363,2,,,5,13,515.5,P,15
112172,2,,,5,5,890.3,P,15
258518,2,,,5,2,500.7,P,15
13661,2,,,5,18,746.2,P,14
44145,3,6504,D6Wox6,5,6,774.7,P,15
22355,2,,,5,15,65.8,P,15
280797,2,,,5,X,210.93,P,11
29918,2,,,5,10,172.3,P,15
24176,2,,,5,7,1085.6,P,15
39400,3,3389,D9Rat128,5,9,242.1,F,15
41774,3,4576,D1Rat326,5,1,81.7,P,15
32042,2,,,5,2,1564.3,P,15
190449,2,,,5,3,48.2,P,15
167883,2,,,5,5,1008.4,P,15
16583,2,,,5,15,229.3,P,15
60436,3,11969,D4Got26,5,4,220.61,P,13
44249,3,6593,D7Got34,5,7,359.8,P,15
145521,2,,,5,3,948.4,P,15
115555,2,,,5,1,1616.9,P,13
44639,3,6932,D9Got96,5,9,757.9,P,15
28181,2,,,5,1,1510.3,P,15
630566,2,,,5,17,267.9,P,15
43651,3,6081,D3Got44,5,3,733.6,P,15
219489,2,,,5,10,404.1,P,15
31031,2,,,5,1,1516.9,P,15
23318,2,,,5,1,131.3,P,15
15521,2,,,5,4,374,P,15
294720,2,,,5,17,833.5,P,14
89789,2,,,5,13,615.7,P,14
311065,2,,,5,15,385.47,P,9
275248,2,,,5,7,1087.6,P,15
277163,2,,,5,20,77.2,P,15
178932,2,,,5,2,1167,P,15
209447,2,,,5,9,784.59,P,9
629598,3,13252,D2Got71,5,2,1164.3,P,15
80632,2,,,5,3,986.9,P,15
245518,2,,,5,15,69.5,P,13
168770,2,,,5,12,576.51,P,14
108860,2,,,5,15,214.1,P,12
11633,2,,,5,4,218.84,P,10
40660,3,4019,D4Rat203,5,4,1005.8,P,15
120063,2,,,5,1,1580.5,P,15
294769,2,,,5,13,567.6,P,9
60618,3,12151,D8Got21,5,8,183.42,P,13
30197,2,,,5,4,419.82,P,11
163948,2,,,5,14,432.49,P,10
38614,3,2996,DXRat47,5,X,134.1,F,15
158456,2,,,5,11,130.2,P,15
45050,3,7292,D13Got27,5,13,177.9,F,15
33389,2,,,5,9,78.5,P,15
12230,2,,,5,9,55,P,15
35342,3,1359,D14Rat8,5,14,398.9,P,15
44979,3,7230,D12Got55,5,12,391.5,F,15
629880,2,,,5,13,355.6,P,15
3849,1,,,5,4,688.3,P,15
19901,2,,,5,2,858.5,P,15
60633,3,12166,D8Got52,5,8,398.1,P,15
32453,2,,,5,3,964.8,P,15
245161,2,,,5,10,783.3,P,15
209759,2,,,5,X,115,P,15
33638,3,570,D16Mit4,5,16,297.61,P,12
202264,2,,,5,11,462.31,P,11
155086,2,,,5,2,1155.2,P,15
44169,3,6527,D6Wox22,5,6,742.29,P,14
102657,2,,,5,4,1014.7,P,15
43562,3,6010,D2Got121,5,2,1262.7,P,15
243876,2,,,5,1,1618.62,P,10
270579,2,,,5,4,282.8,P,14
25781,2,,,5,2,148.7,P,15
38420,3,2899,D1Rat189,5,1,860.1,F,15
139503,2,,,5,2,703.6,P,15
225299,2,,,5,8,1259.5,P,15
23225,2,,,5,18,299.5,P,15
78061,2,,,5,10,546.1,P,15
20594,2,,,5,18,182.4,P,15
44411,3,6729,D8Got72,5,8,535.2,P,15
212657,2,,,5,4,527.8,P,15
29273,2,,,5,17,793.6,P,15
159204,2,,,5,2,737.7,P,15
124842,2,,,5,13,473.2,P,13
336514,2,,,5,9,504.6,P,15
199762,2,,,5,3,538,P,15
176991,2,,,5,4,588.8,P,15
35599,3,1488,D2Rat82,5,2,1490.2,P,15
209980,2,,,5,9,344,P,15
31328,2,,,5,1,848.3,P,15
31667,2,,,5,1,1208.1,P,15
20189,2,,,5,19,657.2,P,15
24278,2,,,5,4,950.71,P,12
200670,2,,,5,17,842.8,P,15
320181,2,,,5,15,646.2,P,15
182467,2,,,5,8,871.99,P,10
163136,2,,,5,12,805.9,P,15
38832,3,3105,DXRat61,5,X,555.2,F,15
16037,2,,,5,8,585.5,P,15
324157,2,,,5,7,115.5,P,9
326005,2,,,5,1,843,P,13
