Strains	Number of Hets	Total Markers	% of Hets v.s. Markers
ACI	9	3922	0.2295
AVN/Orl	9	3979	0.2262
BB/DP	23	4160	0.5529
BB/DR	6	4135	0.1451
BC/Cpbu	4	4107	0.0974
BDIX/Han	1	4119	0.0243
BDVII/Cub	2	3800	0.0526
BN/Cub-lx	7	4072	0.1719
BN/SsNHsd	7	4085	0.1714
BP/Cub	4	4030	0.0993
BUF/Pit	10	4232	0.2363
COP/OlaHsd	3	4134	0.0726
DA/Pit	5	4202	0.1190
DONRYU/Melb	7	4160	0.1683
F344/Pit	3	4224	0.0710
FHH/Eur	12	4245	0.2827
GH/Omr	5	4172	0.1198
GK	4	3974	0.1007
IS/Kyo	19	4157	0.4571
LE/Mol	11	4121	0.2669
LEW/Pit	5	4185	0.1195
LH/Mav	6	4074	0.1473
LN/Mav	5	4122	0.1213
LOU/CHan	3	4178	0.0718
M520/N	7	4180	0.1675
MHS/Gib	6	4211	0.1425
MNR/N	11	4184	0.2629
MNRA/N	65	4189	1.5517
MNS/Gib	8	4145	0.1930
MR/Pit	15	4242	0.3536
NEDH/K	7	4195	0.1669
NP9	2	4050	0.0494
ODU/N	11	4246	0.2591
OKA/Wsl	4	4204	0.0951
OM/Han	1	4116	0.0243
P5C	8	4210	0.1900
PVG/Pit	6	4082	0.1470
SD/Rij	3	4199	0.0714
SHR/OlaHsd	5	4217	0.1186
SHRSP/Riv	3	4085	0.0734
SR/Jr	1	4200	0.0238
SS/Jr	28	4223	0.6630
WAG/RijKyo	10	4197	0.2383
WF/Pit	8	4201	0.1904
WIST/Nhg	3	4119	0.0728
WKY/OlsHsd	6	4096	0.1465
WN/N	7	4154	0.1685
WTC/Kyo	10	4143	0.2414
