,ACI,AVN/Orl,BB/DP,BB/DR,BC/Cpbu,BDIX/Han,BDVII/Cub,BN/Cub-lx,BN/SsNHsd,BP/Cub,BUF/Pit,COP/OlaHsd,DA/Pit,DONRYU/Melb,F344/Pit,FHH/Eur,GH/Omr,GK,IS/Kyo,LE/Mol,LEW/Pit,LH/Mav,LOU/CHan,LN/Mav,M520/N,MHS/Gib,MNR/N,MNRA/N,MNS/Gib,MR/Pit,NEDH/K,NP9,ODU/N,OKA/Wsl,OM/Han,P5C,PVG/Pit,SD/Rij,SHR/OlaHsd,SHRSP/Riv,SR/Jr,SS/Jr,WAG/RijKyo,WF/Pit,WIST/Nhg,WKY/OlsHsd,WN/N,WTC/Kyo
MNRA/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,15,44,43,52,53,47,42,40,42,53,52,43,42,34,38,38,51,42,51
MNS/Gib,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,45,34,52,53,44,33,43,39,54,52,41,39,37,35,41,51,38,51
MR/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42,52,53,48,42,40,42,52,52,43,42,36,40,39,52,43,51
NEDH/K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,55,56,49,46,45,44,55,54,41,40,41,42,46,54,46,53
NP9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,54,47,23,45,40,55,54,43,41,38,35,43,53,38,54
ODU/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,56,52,53,54,33,34,56,55,51,52,53,20,54,20
OKA/Wsl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,53,55,56,14,8,55,55,54,53,54,36,56,35
OM/Han,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,46,48,56,56,44,43,46,44,49,57,45,57
P5C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,39,54,52,42,41,38,35,42,51,38,52
PVG/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,53,54,42,41,38,41,40,53,44,53
SD/Rij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,55,40,40,41,40,45,53,42,53
SHR/OlaHsd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,55,55,52,54,55,35,56,34
SHRSP/Riv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,53,52,52,53,36,55,35
SR/Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,40,41,43,54,42,54
SS/Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,37,42,53,42,53
WAG/RijKyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,38,50,39,50
WF/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,53,39,52
WIST/Nhg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,45,52
WKY/OlsHsd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,16
WN/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54
WTC/Kyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
