,ACI,AVN/Orl,BB/DP,BB/DR,BC/Cpbu,BDIX/Han,BDVII/Cub,BN/Cub-lx,BN/SsNHsd,BP/Cub,BUF/Pit,COP/OlaHsd,DA/Pit,DONRYU/Melb,F344/Pit,FHH/Eur,GH/Omr,GK,IS/Kyo,LE/Mol,LEW/Pit,LH/Mav,LOU/CHan,LN/Mav,M520/N,MHS/Gib,MNR/N,MNRA/N,MNS/Gib,MR/Pit,NEDH/K,NP9,ODU/N,OKA/Wsl,OM/Han,P5C,PVG/Pit,SD/Rij,SHR/OlaHsd,SHRSP/Riv,SR/Jr,SS/Jr,WAG/RijKyo,WF/Pit,WIST/Nhg,WKY/OlsHsd,WN/N,WTC/Kyo
ACI,-,56,62,62,60,54,55,75,74,59,58,41,32,58,57,67,60,67,79,65,61,60,60,60,57,61,61,59,62,61,63,63,69,70,65,63,58,62,71,70,59,59,59,60,60,69,62,69
AVN/Orl,-,-,54,55,57,56,57,68,68,61,55,58,56,56,56,63,57,64,78,61,44,59,54,59,60,54,55,56,54,57,59,56,69,70,63,55,56,59,69,69,58,57,54,55,57,67,56,67
BB/DP,-,-,-,18,62,60,60,69,69,62,54,64,61,57,57,62,56,63,78,61,45,56,55,57,58,47,56,54,47,55,59,39,67,69,61,38,58,55,70,68,56,55,52,49,57,67,52,67
BB/DR,-,-,-,-,62,60,60,68,68,63,53,64,60,57,58,62,56,63,78,59,44,56,55,57,58,45,55,53,46,54,57,40,67,70,60,38,58,53,70,68,57,56,51,48,56,67,53,67
BC/Cpbu,-,-,-,-,-,56,57,74,74,60,60,61,59,61,61,65,58,67,79,64,61,62,60,62,62,63,61,60,64,62,62,63,71,72,65,63,60,63,70,70,62,61,60,60,61,71,62,71
BDIX/Han,-,-,-,-,-,-,39,73,74,55,58,54,55,59,59,67,55,64,78,62,58,59,58,59,58,61,59,59,61,59,62,62,70,70,65,61,57,62,69,70,59,58,59,60,59,69,60,69
BDVII/Cub,-,-,-,-,-,-,-,72,73,56,58,56,56,58,58,65,54,67,77,63,58,59,56,59,57,60,60,59,60,60,61,62,69,70,65,61,58,59,69,69,59,58,57,59,58,69,60,68
BN/Cub-lx,-,-,-,-,-,-,-,-,8,74,71,75,71,71,72,74,72,76,84,74,62,73,70,71,72,68,70,70,69,71,70,68,80,83,74,70,73,69,81,82,73,72,67,68,72,78,71,79
BN/SsNHsd,-,-,-,-,-,-,-,-,-,74,71,75,71,71,72,74,72,76,83,75,62,73,70,72,72,68,71,70,69,71,71,68,80,83,75,70,73,70,81,82,73,72,68,68,72,78,72,79
BP/Cub,-,-,-,-,-,-,-,-,-,-,63,57,60,63,63,69,59,68,79,66,61,62,62,62,61,63,63,63,63,63,65,64,70,72,67,64,61,63,71,71,63,62,64,64,62,71,64,70
BUF/Pit,-,-,-,-,-,-,-,-,-,-,-,63,55,49,49,62,53,63,78,58,50,53,53,53,50,55,55,55,56,56,59,55,68,70,60,55,55,56,68,69,53,52,54,53,57,68,56,68
COP/OlaHsd,-,-,-,-,-,-,-,-,-,-,-,-,46,61,61,67,60,66,76,65,61,61,61,62,61,63,61,61,63,61,64,64,68,68,66,64,60,63,68,68,60,61,62,61,61,68,63,67
DA/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,54,54,65,56,65,78,61,55,57,56,57,55,58,58,57,59,58,60,60,67,70,64,59,58,60,68,69,57,57,56,57,57,67,59,67
DONRYU/Melb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,61,53,65,78,59,53,51,52,51,43,55,55,55,56,55,58,58,67,69,59,55,52,57,69,68,53,52,54,55,56,68,54,67
F344/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,52,66,79,59,54,51,52,52,43,56,55,55,57,56,58,58,67,69,60,56,53,58,70,69,53,53,55,55,57,68,54,67
FHH/Eur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,71,80,60,57,61,58,60,63,60,62,62,59,62,63,62,73,74,65,62,63,63,74,73,61,60,59,60,64,73,60,72
GH/Omr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,78,60,52,52,49,53,55,55,53,53,57,54,54,58,67,69,59,56,53,58,68,68,55,54,49,55,56,66,55,66
GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,69,60,65,66,66,67,63,65,64,61,64,66,63,56,58,69,63,64,65,57,57,65,66,63,63,64,56,66,55
IS/Kyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,78,79,78,79,79,78,78,78,78,78,79,79,71,69,81,78,77,79,69,71,79,78,78,79,77,70,81,70
LE/Mol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,58,57,60,57,58,61,61,57,60,62,60,72,73,63,58,59,60,72,71,59,59,57,58,61,70,57,71
LEW/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,48,52,54,42,50,50,43,50,54,44,64,68,59,43,53,52,67,67,53,53,45,43,52,63,48,63
LH/Mav,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,24,52,53,55,55,53,55,54,56,69,69,55,53,56,54,69,67,29,31,54,54,58,68,54,69
LOU/CHan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,52,49,50,48,52,50,54,54,68,68,59,52,51,54,68,67,53,52,41,50,55,67,53,66
LN/Mav,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,54,56,55,54,56,55,59,70,70,57,56,56,56,70,68,30,33,54,55,56,68,55,68
M520/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,57,57,57,57,59,60,69,69,60,57,56,58,69,70,54,53,56,56,58,68,55,68
MHS/Gib,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,52,38,52,57,46,67,69,58,45,55,52,68,67,54,51,48,46,54,67,50,66
MNR/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,54,18,57,55,67,68,62,54,53,56,67,67,56,55,49,54,52,67,55,66
MNRA/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,21,57,55,67,68,61,55,53,55,68,68,56,55,46,51,51,67,55,67
MNS/Gib,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,57,45,66,68,58,44,56,51,68,67,53,51,49,45,53,66,50,66
MR/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,55,67,68,61,55,53,55,67,67,55,55,48,53,51,67,56,66
NEDH/K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,69,70,62,58,59,56,69,68,54,53,55,56,59,68,59,68
NP9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,70,60,31,58,52,70,69,56,54,50,47,56,67,51,69
ODU/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,71,66,68,69,45,46,70,69,65,66,67,31,69,31
OKA/Wsl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,69,69,71,21,14,70,70,69,68,69,48,72,47
OM/Han,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,60,60,71,71,57,56,59,57,62,72,59,71
P5C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,50,69,68,54,53,50,46,54,66,51,66
PVG/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,68,68,55,54,51,55,53,68,57,69
SD/Rij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,70,53,52,53,52,58,68,56,67
SHR/OlaHsd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,70,69,67,68,69,47,72,47
SHRSP/Riv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,68,67,67,68,48,70,47
SR/Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,53,53,56,68,55,69
SS/Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,48,54,68,55,68
WAG/RijKyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,50,64,52,64
WF/Pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,66,52,65
WIST/Nhg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,58,67
WKY/OlsHsd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,23
WN/N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69
WTC/Kyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
